Key	WorldX	WorldY	WorldZ	Classname	micFileName	Eventnumber	Posixtime	ImgX1	ImgY1	ImgX2	ImgY2
6269	202937.023749	544450.598699	32.960150	TrafficLight_pedestrian	2205021311_M008C35L03G031_6762/01_camera/01/220502153411.mic	119187	2022-05-02 06:35:07.837327(utc)	2598	312	2854	404
6270	203591.256171	544673.896795	47.957096	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502150311.mic	100203	2022-05-02 06:03:29.456383(utc)	1576	1543	1710	1577
6271	203042.789984	543886.545110	17.812869	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502152611.mic	114048	2022-05-02 06:26:33.940553(utc)	2594	1418	2692	1438
6272	203537.710761	544390.048650	53.512661	noParking	2205021311_M008C35L03G031_6762/01_camera/01/220502143106.mic	80913	2022-05-02 05:31:20.440465(utc)	1925	1456	2043	1486
6273	203618.449042	544584.145391	52.100422	noParking	2205021311_M008C35L03G031_6762/01_camera/01/220502143906.mic	85974	2022-05-02 05:39:46.541789(utc)	2075	1137	2097	1161
6274	203681.117987	544659.671758	42.002941	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502150211.mic	99787	2022-05-02 06:02:47.849299(utc)	1845	1022	1863	1042
6275	203590.422797	544253.356420	39.894094	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502142406.mic	77153	2022-05-02 05:25:04.436727(utc)	1847	1605	2007	1643
6276	203680.435126	544269.828680	34.294775	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502140906.mic	67586	2022-05-02 05:09:07.744451(utc)	1384	1984	1504	2028
6277	202506.510566	544289.634740	19.041199	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502133201.mic	45633	2022-05-02 04:32:32.440858(utc)	1791	1382	1895	1406
6278	203664.480780	544319.858587	37.811327	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502143706.mic	84399	2022-05-02 05:37:09.042853(utc)	2032	1166	2058	1190
6279	203785.839545	544732.063360	35.405485	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502151311.mic	106538	2022-05-02 06:14:02.946681(utc)	0	1893	358	2031
6280	204453.256537	544662.229803	28.861751	Stop	2205021311_M008C35L03G031_6762/01_camera/01/220502140406.mic	65126	2022-05-02 05:05:01.747016(utc)	3106	164	3472	492
6281	203445.867743	544519.731267	59.652649	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502145706.mic	96642	2022-05-02 05:57:33.349431(utc)	71	1811	469	1919
6282	203580.431586	544103.520666	28.437984	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502152211.mic	111634	2022-05-02 06:22:32.534781(utc)	2149	1027	2177	1053
6283	203415.425482	544639.796331	55.540440	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502150111.mic	98833	2022-05-02 06:01:12.445147(utc)	2640	1142	2670	1172
6284	203594.305365	544672.101934	47.862492	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502150311.mic	100189	2022-05-02 06:03:28.052633(utc)	1777	1444	1889	1468
6285	203915.612128	544684.852361	33.292381	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502134501.mic	53190	2022-05-02 04:45:08.139257(utc)	2809	1440	2943	1470
6286	205051.602553	543591.946432	12.775108	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502131301.mic	34315	2022-05-02 04:13:40.647022(utc)	2233	1045	2271	1079
6287	203527.592841	544298.679266	47.988766	noRightTurn	2205021311_M008C35L03G031_6762/01_camera/01/220502142606.mic	78086	2022-05-02 05:26:37.747357(utc)	1824	1281	1880	1291
6288	203628.363593	544431.178289	44.972353	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502143706.mic	84673	2022-05-02 05:37:36.446041(utc)	2828	1922	3114	2040
6289	203745.078803	544509.279180	41.033493	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502145006.mic	92595	2022-05-02 05:50:48.647187(utc)	2007	1562	2201	1622
6290	204305.862860	544972.040716	21.771936	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502135801.mic	60967	2022-05-02 04:58:05.846127(utc)	3487	1524	3569	1544
6291	203907.216498	544686.158514	33.370874	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502134501.mic	53201	2022-05-02 04:45:09.245958(utc)	2352	1340	2434	1360
6292	203796.322211	544781.623907	34.878889	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502134901.mic	55685	2022-05-02 04:49:17.642849(utc)	3332	0	3604	216
6293	203438.817572	544559.594976	57.957104	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502150013.mic	98617	2022-05-02 06:00:50.839882(utc)	3034	1644	3136	1674
6294	203728.915595	544468.150274	41.305674	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502141006.mic	68602	2022-05-02 05:10:49.341495(utc)	2255	1815	2375	1863
6295	203478.366156	544414.375860	51.893944	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502144806.mic	91021	2022-05-02 05:48:11.239410(utc)	2306	1496	2402	1516
6296	202775.421698	544405.583318	31.750341	RightPass	2205021311_M008C35L03G031_6762/01_camera/01/220502153311.mic	118159	2022-05-02 06:33:25.045386(utc)	2772	862	2876	958
6297	204385.230658	544830.216131	29.287041	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502135601.mic	60225	2022-05-02 04:56:51.648337(utc)	2050	990	2094	1076
6298	203700.962714	544189.067144	29.585903	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502143506.mic	83586	2022-05-02 05:35:47.738731(utc)	1266	1279	1326	1291
6299	203506.412055	544222.186529	39.855350	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502142806.mic	79235	2022-05-02 05:28:32.639547(utc)	2264	1472	2390	1498
6300	203744.984687	544509.061590	40.539091	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502144906.mic	91790	2022-05-02 05:49:28.138264(utc)	1727	1342	1817	1362
6301	204992.648865	545251.749212	24.835223	TrafficLight_road	2205021311_M008C35L03G031_6762/01_camera/01/220502154511.mic	125449	2022-05-02 06:45:34.032389(utc)	509	900	537	942
6302	203683.815253	544270.763280	34.962118	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502141606.mic	71814	2022-05-02 05:16:10.541809(utc)	2209	1572	2381	1606
